sequence,case_id,target,role,path,sha256,prefix_bytes,prefix_lines
3,standard_r1,0.1,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,cfb62a709000ca86f78aed7acb02bd9961cb0afb90e5a5e31c776b083d5b0230,727,4
3,standard_r1,0.1,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,0feec1a0a786afeac2435173861f32893476adc3d0af1375ba367ffc8de3dce2,2580,3
3,standard_r1,0.1,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,7d85d800a2d050deb02fcd57d984e9bd4b0641d7a17e9cfbd82d3d135abc0865,322,2
12,standard_r1,0.25,history,cases/standard_r1/z4c_standard_r1.user.hst,8d94ac86f7af91dc5d91757444b7d0cece385808924b99af669be90e2c07568f,2794,8
12,standard_r1,0.25,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,bfccf50f28b977b688fe274a864c3e05ab7d9e0a45f0f24f6fb6ccaf61d16b26,1454,8
12,standard_r1,0.25,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,237454bea5d0038cce038f9ffeeae4d843d38995961f6a3fc6dc55cd383880f0,3928,5
12,standard_r1,0.25,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,59a094cad56b9a5eacb34ae45cc5911c60458ad2ea0777a27753b4b5b29cbe20,553,3
21,standard_r1,0.5,history,cases/standard_r1/z4c_standard_r1.user.hst,db22fafa2d30faaf9b9ce6a4ed339d6da543b9ff5e3266411c0dda2130c9db28,4191,12
21,standard_r1,0.5,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,5dde7e8367e3aff15bdb5237e8c6702eb774e66a64964714728ac490578dd899,2181,12
21,standard_r1,0.5,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,67e137eec9d4142bd8da8366f41571d92dc3904e41037dc424a6f8f062dfb7a0,5234,7
21,standard_r1,0.5,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,fa97829224ca19ef8658fef944111c58d55513be508bc0ca8de982db42508cd6,783,4
30,standard_r1,1.0,history,cases/standard_r1/z4c_standard_r1.user.hst,7b83941478bf4f66745fd7446d48f57563399961d0c18aa44c7e11cfad52189d,7175,19
30,standard_r1,1.0,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,4b3fbe72eac6cd60f149aa00b4a2921ab319bc417101e79ee9a04d9b9fd2b440,3703,19
30,standard_r1,1.0,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,ccad8d4a8d3fb8c4a7698287db6856cb56b3d2e2f030520c0ff17bc880ede7d0,8476,12
