sample,operation,k,j,i,var,value
0,3,0,4,8,11,0.0018125644926541243
0,3,0,4,8,12,0.0063673417323521775
0,3,0,4,8,13,-0.0050170407741732806
0,3,0,4,8,14,0
0,3,0,4,8,15,0
0,3,0,4,8,16,0
0,3,0,4,8,17,0
0,3,0,4,8,18,0.7723718502277841
0,3,0,4,8,19,-0.0093873504397898166
0,3,0,4,8,20,-0.0075058793767912501
0,3,0,4,8,21,-0.004610721661825007
0,3,0,4,8,22,-0.13308699476829455
0,3,0,4,8,23,-0.10237461136022658
0,3,0,4,8,24,0
0,3,0,4,8,25,-0.21910114020928456
0,3,0,4,8,26,-0.092634845781801645
0,3,0,4,8,27,0.047655906051917024
0,3,0,4,8,28,0.25810072508615362
0,3,0,4,8,29,-0.10501465348492037
0,3,0,4,8,30,-0.03123427200937717
0,3,0,4,8,31,-0.16853933862252657
0,3,0,4,8,32,-0.071257573678308928
0,3,0,4,8,33,0.036658389270705409
0,3,0,4,8,34,0.19853901929704132
0,3,0,4,8,35,-0.080780502680708077
0,3,0,4,8,36,-0.024026363084136283
0,3,0,4,8,37,0
0,3,0,4,8,38,0
0,3,0,4,8,39,0
0,3,0,4,8,40,0
0,3,0,4,8,41,0
0,3,0,4,8,42,0
0,3,0,4,8,43,0.097061867568581026
0,3,0,4,8,44,0.074662975052754627
0,3,0,4,8,45,0
0,3,0,4,8,46,0.021597830455426355
0,3,0,4,8,47,0.041433612693870747
0,3,0,4,8,48,0.055653685107290247
0,3,0,4,8,49,0.016613715734943413
0,3,0,4,8,50,0.031872009764515971
0,3,0,4,8,51,0.042810527005607897
0,3,0,4,8,52,0
0,3,0,4,8,53,0
0,3,0,4,8,54,0
0,3,0,4,9,0,0.57000031647438998
0,3,0,4,9,1,0.92642045215073843
0,3,0,4,9,2,-0.019156093735333328
0,3,0,4,9,3,0.0009589052713123011
0,3,0,4,9,4,1.0003949595408739
0,3,0,4,9,5,-0.029423131246628875
0,3,0,4,9,6,1.080290272242477
0,3,0,4,9,7,0.0098799217259383024
0,3,0,4,9,8,0.0070054279325204201
0,3,0,4,9,9,0.0084331114780685952
0,3,0,4,9,10,0.0058281858603662631
0,3,0,4,9,11,-0.00050454379192500776
0,3,0,4,9,12,-0.0010841437747371463
0,3,0,4,9,13,-0.0079281068543106056
0,3,0,4,9,14,0
0,3,0,4,9,15,0
0,3,0,4,9,16,0
0,3,0,4,9,17,0
0,3,0,4,9,18,0.80993127900108819
0,3,0,4,9,19,-0.0042035803488745674
0,3,0,4,9,20,-0.00063761304016564098
0,3,0,4,9,21,0.0030122888592533496
0,3,0,4,9,22,1.8472318651138041e-07
0,3,0,4,9,23,1.42094758854908e-07
0,3,0,4,9,24,0
0,3,0,4,9,25,0.13800703437864961
0,3,0,4,9,26,-0.013431760737722636
0,3,0,4,9,27,0.060298915629584095
0,3,0,4,9,28,0.37696734452785285
0,3,0,4,9,29,0.031063910555520512
0,3,0,4,9,30,-0.56547177889529332
0,3,0,4,9,31,0.10615925721434584
0,3,0,4,9,32,-0.010332123644401944
0,3,0,4,9,33,0.046383781253526199
0,3,0,4,9,34,0.28997488040604058
0,3,0,4,9,35,0.023895315811938881
0,3,0,4,9,36,-0.43497829145791783
0,3,0,4,9,37,0
0,3,0,4,9,38,0
0,3,0,4,9,39,0
0,3,0,4,9,40,0
0,3,0,4,9,41,0
0,3,0,4,9,42,0
0,3,0,4,9,43,0.35048196741439364
0,3,0,4,9,44,0.269601513395688
0,3,0,4,9,45,0
0,3,0,4,9,46,0.056917498876947602
0,3,0,4,9,47,0.062595900711965635
0,3,0,4,9,48,0.059807275502171214
0,3,0,4,9,49,0.04378269144380581
0,3,0,4,9,50,0.048150692855358175
0,3,0,4,9,51,0.046005596540131713
0,3,0,4,9,52,0
0,3,0,4,9,53,0
0,3,0,4,9,54,0
0,3,0,4,10,0,0.57878704849735463
0,3,0,4,10,1,0.9633613172310681
0,3,0,4,10,2,-0.015199091245841817
0,3,0,4,10,3,0.0075977125337726957
0,3,0,4,10,4,1.0435783321871495
0,3,0,4,10,5,-0.01705040513741201
