sample,operation,k,j,i,var,value
0,3,0,4,10,6,0.99524867211216628
0,3,0,4,10,7,0.0081171153502592602
0,3,0,4,10,8,0.0083420839152645657
0,3,0,4,10,9,0.0020099787867713706
0,3,0,4,10,10,-0.0016004334745400933
0,3,0,4,10,11,-0.0019564663011380243
0,3,0,4,10,12,-0.0079035013305212374
0,3,0,4,10,13,-0.0065795019531844001
0,3,0,4,10,14,0
0,3,0,4,10,15,0
0,3,0,4,10,16,0
0,3,0,4,10,17,0
0,3,0,4,10,18,0.84167304527945841
0,3,0,4,10,19,0.0034426356712753121
0,3,0,4,10,20,0.0066041432050034325
0,3,0,4,10,21,0.0088706704201092987
0,3,0,4,10,22,0.13308704851590014
0,3,0,4,10,23,0.10237465270453856
0,3,0,4,10,24,0
0,3,0,4,10,25,0.42874679129002707
0,3,0,4,10,26,0.074899027921173492
0,3,0,4,10,27,0.040629554298479038
0,3,0,4,10,28,0.27463577318999471
0,3,0,4,10,29,0.15794423332449042
0,3,0,4,10,30,-0.71147752730434421
0,3,0,4,10,31,0.32980522406925106
0,3,0,4,10,32,0.057614636862441122
0,3,0,4,10,33,0.031253503306522351
0,3,0,4,10,34,0.21125828706922686
0,3,0,4,10,35,0.12149556409576187
0,3,0,4,10,36,-0.54729040561872544
0,3,0,4,10,37,0
0,3,0,4,10,38,0
0,3,0,4,10,39,0
0,3,0,4,10,40,0
0,3,0,4,10,41,0
0,3,0,4,10,42,0
0,3,0,4,10,43,0.42467705504963293
0,3,0,4,10,44,0.32667465773048671
0,3,0,4,10,45,0
0,3,0,4,10,46,0.058894940903618756
0,3,0,4,10,47,0.047090766115336496
0,3,0,4,10,48,0.028926088633603696
0,3,0,4,10,49,0.045303800695091365
0,3,0,4,10,50,0.036223666242566545
0,3,0,4,10,51,0.022250837410464307
0,3,0,4,10,52,0
0,3,0,4,10,53,0
0,3,0,4,10,54,0
0,3,0,4,11,0,0.6000000204372079
0,3,0,4,11,1,1.0239207524312413
0,3,0,4,11,2,-0.0020211011572103016
0,3,0,4,11,3,0.010069295148239831
0,3,0,4,11,4,1.0618408019077528
0,3,0,4,11,5,0.0061240654436969947
0,3,0,4,11,6,0.9198974493767923
0,3,0,4,11,7,0.001598867041502965
0,3,0,4,11,8,0.0049173268954587996
0,3,0,4,11,9,-0.0054829002218996382
0,3,0,4,11,10,-0.0080581513849572062
0,3,0,4,11,11,-0.0024399643428506318
0,3,0,4,11,12,-0.0098909419282904726
0,3,0,4,11,13,-0.0025577886435036983
0,3,0,4,11,14,0
0,3,0,4,11,15,0
0,3,0,4,11,16,0
0,3,0,4,11,17,0
0,3,0,4,11,18,0.84900293285859119
0,3,0,4,11,19,0.009072166814543604
0,3,0,4,11,20,0.0099773239778349135
0,3,0,4,11,21,0.0095326607275910899
0,3,0,4,11,22,0.18821303366195546
0,3,0,4,11,23,0.14477925666304264
0,3,0,4,11,24,0
0,3,0,4,11,25,0.49033319833274047
0,3,0,4,11,26,0.12582739361587592
0,3,0,4,11,27,-0.0040705543779893192
0,3,0,4,11,28,-0.00045746987680161396
0,3,0,4,11,29,0.19087666529630121
0,3,0,4,11,30,-0.44132149433139878
0,3,0,4,11,31,0.37717938333287732
0,3,0,4,11,32,0.096790302781443072
0,3,0,4,11,33,-0.0031311956753763536
0,3,0,4,11,34,-0.00035189990523337716
0,3,0,4,11,35,0.14682820407407809
0,3,0,4,11,36,-0.3394780725626132
0,3,0,4,11,37,0
0,3,0,4,11,38,0
0,3,0,4,11,39,0
0,3,0,4,11,40,0
0,3,0,4,11,41,0
0,3,0,4,11,42,0
0,3,0,4,11,43,0.24481396425509205
0,3,0,4,11,44,0.18831843404237911
0,3,0,4,11,45,0
0,3,0,4,11,46,0.026372246416912305
0,3,0,4,11,47,0.0040007018045665624
0,3,0,4,11,48,-0.018899111218696502
0,3,0,4,11,49,0.020286343397624858
0,3,0,4,11,50,0.0030774629265897372
0,3,0,4,11,51,-0.014537777860535719
0,3,0,4,11,52,0
0,3,0,4,11,53,0
0,3,0,4,11,54,0
0,3,0,5,4,0,0.62999964290949761
0,3,0,5,4,1,1.0794234537438336
0,3,0,5,4,2,0.020677593743212475
0,3,0,5,4,3,-0.0010351391717134764
0,3,0,5,4,4,1.0003973869836833
0,3,0,5,4,5,0.029383289061701082
0,3,0,5,4,6,0.92728483086333224
0,3,0,5,4,7,-0.0098806146269480415
0,3,0,5,4,8,-0.007525510059954648
0,3,0,5,4,9,-0.0083328145230166517
0,3,0,5,4,10,-0.0058334370640846971
0,3,0,5,4,11,-0.00040240190995987621
0,3,0,5,4,12,0.0012339405532468724
0,3,0,5,4,13,0.0066283325145854903
0,3,0,5,4,14,0
0,3,0,5,4,15,0
0,3,0,5,4,16,0
0,3,0,5,4,17,0
0,3,0,5,4,18,0.79006839166754472
0,3,0,5,4,19,0.0042036281962503277
0,3,0,5,4,20,0.00063766528875290336
0,3,0,5,4,21,-0.0030123074608882318
0,3,0,5,4,22,1.1492377668246436e-07
0,3,0,5,4,23,8.8402905140357185e-08
0,3,0,5,4,24,0
0,3,0,5,4,25,-0.15921694724800856
0,3,0,5,4,26,0.01156547511706415
0,3,0,5,4,27,-0.06462345555175518
0,3,0,5,4,28,-0.3760372126065572
0,3,0,5,4,29,-0.043760206828083036
0,3,0,5,4,30,0.48650799408249223
0,3,0,5,4,31,-0.12247457480616042
0,3,0,5,4,32,0.0088965193208185578
0,3,0,5,4,33,-0.049710350424427036
0,3,0,5,4,34,-0.28925939431273728
0,3,0,5,4,35,-0.033661697560063895
0,3,0,5,4,36,0.37423691852499502
0,3,0,5,4,37,0
0,3,0,5,4,38,0
0,3,0,5,4,39,0
0,3,0,5,4,40,0
0,3,0,5,4,41,0
0,3,0,5,4,42,0
0,3,0,5,4,43,-0.38736779665849874
0,3,0,5,4,44,-0.29797522819884514
0,3,0,5,4,45,0
0,3,0,5,4,46,-0.056916439816021396
0,3,0,5,4,47,-0.06259637165061703
0,3,0,5,4,48,-0.059806496465865569
0,3,0,5,4,49,-0.043781876781554915
0,3,0,5,4,50,-0.048151055115859237
0,3,0,5,4,51,-0.046004997281435041
0,3,0,5,4,52,0
0,3,0,5,4,53,0
0,3,0,5,4,54,0
0,3,0,5,5,0,0.6212129712191099
0,3,0,5,5,1,1.0380320720953267
0,3,0,5,5,2,0.015777091996091966
0,3,0,5,5,3,-0.0078866303523483037
0,3,0,5,5,4,0.95870133540918012
0,3,0,5,5,5,0.016107436187869726
0,3,0,5,5,6,1.0054468420947191
0,3,0,5,5,7,-0.0081173518110669914
0,3,0,5,5,8,-0.00870377234853216
0,3,0,5,5,9,-0.0021050566891786119
0,3,0,5,5,10,0.0016477486421619105
0,3,0,5,5,11,0.0020834052458494905
0,3,0,5,5,12,0.007801969633986992
0,3,0,5,5,13,0.0064156152500997486
0,3,0,5,5,14,0
0,3,0,5,5,15,0
0,3,0,5,5,16,0
0,3,0,5,5,17,0
0,3,0,5,5,18,0.75832707833690216
0,3,0,5,5,19,-0.0034424624286667357
0,3,0,5,5,20,-0.0066041585902478391
0,3,0,5,5,21,-0.0088706939544103587
0,3,0,5,5,22,-0.13308664025682554
0,3,0,5,5,23,-0.10237433865909656
0,3,0,5,5,24,0
0,3,0,5,5,25,-0.4597526350274399
0,3,0,5,5,26,-0.084102259940893154
0,3,0,5,5,27,-0.038801031976852494
0,3,0,5,5,28,-0.25811150117870574
0,3,0,5,5,29,-0.15584446380746816
0,3,0,5,5,30,0.70968115677820631
0,3,0,5,5,31,-0.35365587309803065
0,3,0,5,5,32,-0.064694046108379338
0,3,0,5,5,33,-0.029846947674501915
0,3,0,5,5,34,-0.19854730859900441
0,3,0,5,5,35,-0.11988035677497549
0,3,0,5,5,36,0.54590858213708171
0,3,0,5,5,37,0
0,3,0,5,5,38,0
0,3,0,5,5,39,0
0,3,0,5,5,40,0
0,3,0,5,5,41,0
0,3,0,5,5,42,0
0,3,0,5,5,43,-0.41719887650979343
0,3,0,5,5,44,-0.32092221269984111
0,3,0,5,5,45,0
0,3,0,5,5,46,-0.058894528264928858
0,3,0,5,5,47,-0.047091093561839784
0,3,0,5,5,48,-0.028926920527628644
0,3,0,5,5,49,-0.045303483280714499
0,3,0,5,5,50,-0.03622391812449214
0,3,0,5,5,51,-0.022251477328945109
0,3,0,5,5,52,0
0,3,0,5,5,53,0
0,3,0,5,5,54,0
0,3,0,5,6,0,0.60000000853629476
0,3,0,5,6,1,0.97663806646263551
0,3,0,5,6,2,0.0019738684344554193
0,3,0,5,6,3,-0.0098338491074546636
0,3,0,5,6,4,0.94176818189145595
0,3,0,5,6,5,-0.0058059923700414483
0,3,0,5,6,6,1.0873714542075161
0,3,0,5,6,7,-0.0015996171252378722
0,3,0,5,6,8,-0.0046921172067301833
0,3,0,5,6,9,0.0054548594204401083
0,3,0,5,6,10,0.0081944912416182826
0,3,0,5,6,11,0.0031653017254535789
0,3,0,5,6,12,0.0099725693400442503
0,3,0,5,6,13,0.0013070317191263105
0,3,0,5,6,14,0
0,3,0,5,6,15,0
0,3,0,5,6,16,0
0,3,0,5,6,17,0
0,3,0,5,6,18,0.75099682354163422
0,3,0,5,6,19,-0.0090720486310275194
0,3,0,5,6,20,-0.009977327543992531
0,3,0,5,6,21,-0.0095328211293438606
0,3,0,5,6,22,-0.18821333330891932
0,3,0,5,6,23,-0.14477948716070715
0,3,0,5,6,24,0
0,3,0,5,6,25,-0.46912328546338161
0,3,0,5,6,26,-0.1239611079952174
0,3,0,5,6,27,0.0083950943001603658
0,3,0,5,6,28,-0.00047266204449290708
0,3,0,5,6,29,-0.17818036902373868
0,3,0,5,6,30,0.52028527914419809
0,3,0,5,6,31,-0.36086406574106272
0,3,0,5,6,32,-0.09535469845785953
0,3,0,5,6,33,0.0064577648462772102
0,3,0,5,6,34,-0.00036358618807146693
0,3,0,5,6,35,-0.13706182232595282
0,3,0,5,6,36,0.40021944549553695
0,3,0,5,6,37,0
0,3,0,5,6,38,0
0,3,0,5,6,39,0
0,3,0,5,6,40,0
0,3,0,5,6,41,0
0,3,0,5,6,42,0
0,3,0,5,6,43,-0.20792813528374296
0,3,0,5,6,44,-0.15994471944903305
0,3,0,5,6,45,0
0,3,0,5,6,46,-0.026373305477838515
0,3,0,5,6,47,-0.0040002308659151681
0,3,0,5,6,48,0.018898332182390842
0,3,0,5,6,49,-0.020287158059875778
0,3,0,5,6,50,-0.0030771006660885881
0,3,0,5,6,51,0.014537178601839125
0,3,0,5,6,52,0
0,3,0,5,6,53,0
0,3,0,5,6,54,0
0,3,0,5,7,0,0.57878701494065232
0,3,0,5,7,1,0.93168780406802365
0,3,0,5,7,2,-0.012220590186601188
0,3,0,5,7,3,-0.0061117011191924673
0,3,0,5,7,4,0.95862034937585761
0,3,0,5,7,5,-0.024402268356541443
0,3,0,5,7,6,1.1205044138782283
0,3,0,5,7,7,0.0058549880784852437
0,3,0,5,7,8,0.0017717131350324822
0,3,0,5,7,9,0.0098759608517369306
0,3,0,5,7,10,0.0099127648306060762
0,3,0,5,7,11,0.0018125644926541243
0,3,0,5,7,12,0.0063673417323521775
0,3,0,5,7,13,-0.0050170407741732806
0,3,0,5,7,14,0
0,3,0,5,7,15,0
0,3,0,5,7,16,0
0,3,0,5,7,17,0
0,3,0,5,7,18,0.7723718502277841
0,3,0,5,7,19,-0.0093873504397898166
0,3,0,5,7,20,-0.0075058793767912501
0,3,0,5,7,21,-0.004610721661825007
0,3,0,5,7,22,-0.13308699476829455
0,3,0,5,7,23,-0.10237461136022658
0,3,0,5,7,24,0
0,3,0,5,7,25,-0.21910114020928456
0,3,0,5,7,26,-0.092634845781801645
0,3,0,5,7,27,0.047655906051917024
0,3,0,5,7,28,0.25810072508615362
0,3,0,5,7,29,-0.10501465348492037
0,3,0,5,7,30,-0.03123427200937717
0,3,0,5,7,31,-0.16853933862252657
0,3,0,5,7,32,-0.071257573678308928
0,3,0,5,7,33,0.036658389270705409
0,3,0,5,7,34,0.19853901929704132
0,3,0,5,7,35,-0.080780502680707925
0,3,0,5,7,36,-0.024026363084136283
0,3,0,5,7,37,0
0,3,0,5,7,38,0
0,3,0,5,7,39,0
0,3,0,5,7,40,0
0,3,0,5,7,41,0
0,3,0,5,7,42,0
0,3,0,5,7,43,0.097061867568581026
0,3,0,5,7,44,0.074662975052754627
0,3,0,5,7,45,0
0,3,0,5,7,46,0.021597830455426355
0,3,0,5,7,47,0.041433612693870747
0,3,0,5,7,48,0.055653685107290247
0,3,0,5,7,49,0.016613715734943382
0,3,0,5,7,50,0.031872009764515971
0,3,0,5,7,51,0.042810527005607883
0,3,0,5,7,52,0
0,3,0,5,7,53,0
0,3,0,5,7,54,0
0,3,0,5,8,0,0.57000031647438998
0,3,0,5,8,1,0.92642045215073843
0,3,0,5,8,2,-0.019156093735333328
0,3,0,5,8,3,0.0009589052713123011
0,3,0,5,8,4,1.0003949595408739
0,3,0,5,8,5,-0.029423131246628875
0,3,0,5,8,6,1.080290272242477
0,3,0,5,8,7,0.0098799217259383024
0,3,0,5,8,8,0.0070054279325204201
0,3,0,5,8,9,0.0084331114780685952
0,3,0,5,8,10,0.0058281858603662631
0,3,0,5,8,11,-0.00050454379192500776
0,3,0,5,8,12,-0.0010841437747371463
0,3,0,5,8,13,-0.0079281068543106056
0,3,0,5,8,14,0
0,3,0,5,8,15,0
0,3,0,5,8,16,0
0,3,0,5,8,17,0
0,3,0,5,8,18,0.80993127900108819
0,3,0,5,8,19,-0.0042035803488745674
0,3,0,5,8,20,-0.00063761304016564098
0,3,0,5,8,21,0.0030122888592533496
0,3,0,5,8,22,1.8472318651138041e-07
0,3,0,5,8,23,1.42094758854908e-07
0,3,0,5,8,24,0
0,3,0,5,8,25,0.13800703437864961
0,3,0,5,8,26,-0.013431760737722636
0,3,0,5,8,27,0.060298915629584102
0,3,0,5,8,28,0.3769673445278528
0,3,0,5,8,29,0.031063910555520512
0,3,0,5,8,30,-0.56547177889529321
0,3,0,5,8,31,0.10615925721434584
0,3,0,5,8,32,-0.010332123644402032
0,3,0,5,8,33,0.04638378125352622
0,3,0,5,8,34,0.28997488040604058
0,3,0,5,8,35,0.023895315811938881
0,3,0,5,8,36,-0.43497829145791783
0,3,0,5,8,37,0
0,3,0,5,8,38,0
0,3,0,5,8,39,0
0,3,0,5,8,40,0
0,3,0,5,8,41,0
0,3,0,5,8,42,0
0,3,0,5,8,43,0.35048196741439364
0,3,0,5,8,44,0.26960151339568739
0,3,0,5,8,45,0
