
Root grid = 2 x 2 x 2 MeshBlocks
Total number of MeshBlocks = 456
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 8 (9 levels total)
  Physical level = 1 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 4 (logical level = 5): 56 MeshBlocks, cost = 56
  Physical level = 5 (logical level = 6): 56 MeshBlocks, cost = 56
  Physical level = 6 (logical level = 7): 56 MeshBlocks, cost = 56
  Physical level = 7 (logical level = 8): 56 MeshBlocks, cost = 56
  Physical level = 8 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
Research qualification execution backend: Cuda

Setup complete, executing task list(s)...

elapsed=8.950841e+01 cycle=8181 time=5.442578e+00 dt=5.238883e-04
elapsed=9.017050e+01 cycle=8182 time=5.443102e+00 dt=5.220615e-04
elapsed=9.082960e+01 cycle=8183 time=5.443624e+00 dt=5.201909e-04
elapsed=9.147921e+01 cycle=8184 time=5.444144e+00 dt=5.182748e-04
elapsed=9.217459e+01 cycle=8185 time=5.444662e+00 dt=5.163118e-04
elapsed=9.287456e+01 cycle=8186 time=5.445179e+00 dt=5.143003e-04
elapsed=9.356490e+01 cycle=8187 time=5.445693e+00 dt=5.122386e-04
elapsed=9.422023e+01 cycle=8188 time=5.446205e+00 dt=5.101250e-04
elapsed=9.486528e+01 cycle=8189 time=5.446715e+00 dt=5.079577e-04
elapsed=9.561233e+01 cycle=8190 time=5.447223e+00 dt=5.057348e-04
elapsed=9.629876e+01 cycle=8191 time=5.447729e+00 dt=5.034544e-04
elapsed=9.697666e+01 cycle=8192 time=5.448232e+00 dt=5.011145e-04
elapsed=9.765806e+01 cycle=8193 time=5.448733e+00 dt=4.987130e-04
elapsed=9.831557e+01 cycle=8194 time=5.449232e+00 dt=4.962477e-04
elapsed=9.897064e+01 cycle=8195 time=5.449728e+00 dt=4.937164e-04
elapsed=9.961912e+01 cycle=8196 time=5.450222e+00 dt=4.911169e-04
elapsed=1.002859e+02 cycle=8197 time=5.450713e+00 dt=4.884466e-04
