cycle,time,stage,operation,field,region,rank,gid,level,i,j,k,x,y,z,max_abs,nonzero,bit_mismatch,nonfinite
0,0,0,init_reconstructed,z4c_gxx,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxx,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxx,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxy,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxy,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxy,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxy,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gxz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyy,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyy,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyy,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyy,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gyz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_gzz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gzz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gzz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_gzz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Khat,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Khat,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Khat,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Khat,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axx,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axx,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axx,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axx,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axy,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axy,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
