arm,state,gid,i,j,rho,z,region,C_squared,H_squared,M_squared
high_order,T0,28,31,2,5.4921875,-0.9609375,COARSE_FINE_INTERFACE,2.0390259718691865e-05,8.340092962402431e-06,4.897093278056327e-06
high_order,T0,28,0,3,5.0078125,-0.9453125,COARSE_FINE_INTERFACE,3.4071030039199e-06,6.16799742059572e-07,-5.284842085350771e-08
high_order,T0,28,1,3,5.0234375,-0.9453125,COARSE_FINE_INTERFACE,4.804924465215888e-06,5.513660676481343e-07,2.5068866531319017e-07
high_order,T0,28,2,3,5.0390625,-0.9453125,COARSE_FINE_INTERFACE,4.951921542398803e-06,9.464387558192137e-10,9.214714146394874e-07
high_order,T0,28,3,3,5.0546875,-0.9453125,COARSE_FINE_INTERFACE,6.696964337945294e-06,4.892844033704955e-07,2.104414521448061e-06
high_order,T0,28,4,3,5.0703125,-0.9453125,COARSE_FINE_INTERFACE,9.972571972835282e-06,1.902909340719277e-06,3.703445789406097e-06
high_order,T0,28,5,3,5.0859375,-0.9453125,COARSE_FINE_INTERFACE,1.3423814003510903e-05,3.829379622695074e-06,5.175609759349983e-06
high_order,T0,28,6,3,5.1015625,-0.9453125,COARSE_FINE_INTERFACE,1.6779080632430562e-05,5.598044038684199e-06,6.370619987421651e-06
high_order,T0,28,7,3,5.1171875,-0.9453125,COARSE_FINE_INTERFACE,1.8858304695799307e-05,6.817003212278889e-06,6.9996352037122046e-06
high_order,T0,28,8,3,5.1328125,-0.9453125,COARSE_FINE_INTERFACE,1.9479481265359603e-05,7.230581111571582e-06,7.026511733288024e-06
high_order,T0,28,9,3,5.1484375,-0.9453125,COARSE_FINE_INTERFACE,1.928410027127286e-05,6.972852398849507e-06,6.695769559215643e-06
high_order,T0,28,10,3,5.1640625,-0.9453125,COARSE_FINE_INTERFACE,1.840238990253711e-05,6.199074960666003e-06,6.092409175362723e-06
high_order,T0,28,11,3,5.1796875,-0.9453125,COARSE_FINE_INTERFACE,1.7335000142660775e-05,5.322970220349443e-06,5.58278286694454e-06
high_order,T0,28,12,3,5.1953125,-0.9453125,COARSE_FINE_INTERFACE,1.6251633667045635e-05,4.471207927871602e-06,5.230201037946072e-06
high_order,T0,28,13,3,5.2109375,-0.9453125,COARSE_FINE_INTERFACE,1.541902046920056e-05,3.65025348397996e-06,4.934194794919218e-06
high_order,T0,28,14,3,5.2265625,-0.9453125,COARSE_FINE_INTERFACE,1.4877345324008948e-05,2.896505295567056e-06,4.681080654680614e-06
high_order,T0,28,15,3,5.2421875,-0.9453125,COARSE_FINE_INTERFACE,1.391158701784013e-05,2.1890487343439493e-06,4.219935136410992e-06
high_order,T0,28,16,3,5.2578125,-0.9453125,COARSE_FINE_INTERFACE,1.2535002568305048e-05,1.5392348406540748e-06,3.5441004537759037e-06
high_order,T0,28,17,3,5.2734375,-0.9453125,COARSE_FINE_INTERFACE,1.1292366687740522e-05,9.331450295126722e-07,2.7607552218268774e-06
high_order,T0,28,18,3,5.2890625,-0.9453125,COARSE_FINE_INTERFACE,1.0274518277203718e-05,4.2887515953717604e-07,1.926823005447038e-06
high_order,T0,28,19,3,5.3046875,-0.9453125,COARSE_FINE_INTERFACE,9.316163772354919e-06,9.846802826822046e-08,1.2336450140696587e-06
high_order,T0,28,20,3,5.3203125,-0.9453125,COARSE_FINE_INTERFACE,8.522447621138119e-06,2.6002203377215e-09,7.546928589353921e-07
high_order,T0,28,21,3,5.3359375,-0.9453125,COARSE_FINE_INTERFACE,8.535661391207425e-06,1.7800923541311583e-07,5.656067254921298e-07
high_order,T0,28,22,3,5.3515625,-0.9453125,COARSE_FINE_INTERFACE,9.378232393759004e-06,6.234436108129646e-07,6.886606705239681e-07
high_order,T0,28,23,3,5.3671875,-0.9453125,COARSE_FINE_INTERFACE,1.0422802113902489e-05,1.2908472638122667e-06,1.134999018287168e-06
high_order,T0,28,24,3,5.3828125,-0.9453125,COARSE_FINE_INTERFACE,1.1577884590098646e-05,2.1100725979439775e-06,1.8557524229189243e-06
high_order,T0,28,25,3,5.3984375,-0.9453125,COARSE_FINE_INTERFACE,1.3266831619753663e-05,3.0840146584827733e-06,2.6773818567800896e-06
high_order,T0,28,26,3,5.4140625,-0.9453125,COARSE_FINE_INTERFACE,1.532441274135253e-05,4.144441825372144e-06,3.516314545397423e-06
high_order,T0,28,27,3,5.4296875,-0.9453125,COARSE_FINE_INTERFACE,1.6809105034613735e-05,5.084286181941341e-06,4.214800553844742e-06
high_order,T0,28,28,3,5.4453125,-0.9453125,COARSE_FINE_INTERFACE,1.7580158181922992e-05,5.780318439354052e-06,4.71582343052409e-06
high_order,T0,28,29,3,5.4609375,-0.9453125,COARSE_FINE_INTERFACE,1.8012279832401994e-05,6.03811991731827e-06,5.014704009195351e-06
high_order,T0,28,30,3,5.4765625,-0.9453125,COARSE_FINE_INTERFACE,1.8106612789778646e-05,5.8657898114083785e-06,5.103081433519202e-06
high_order,T0,28,31,3,5.4921875,-0.9453125,COARSE_FINE_INTERFACE,1.7413227893571785e-05,5.375651482919527e-06,5.074346272331479e-06
high_order,T0,28,0,4,5.0078125,-0.9296875,COARSE_FINE_INTERFACE,2.731395144268588e-06,1.331041512123878e-07,8.001149429556903e-08
high_order,T0,28,1,4,5.0234375,-0.9296875,COARSE_FINE_INTERFACE,4.2738750660306565e-06,7.302421012667371e-08,5.303818947992648e-07
high_order,T0,28,2,4,5.0390625,-0.9296875,COARSE_FINE_INTERFACE,5.25259309342861e-06,4.6262155604871555e-08,1.3880324361829388e-06
high_order,T0,28,3,4,5.0546875,-0.9296875,COARSE_FINE_INTERFACE,7.67131325597872e-06,7.048528432637107e-07,2.7959004423077558e-06
high_order,T0,28,4,4,5.0703125,-0.9296875,INTERIOR,1.139162395091123e-05,2.3969735229294513e-06,4.633865421506131e-06
high_order,T0,28,5,4,5.0859375,-0.9296875,INTERIOR,1.557825253098308e-05,4.7198506464773245e-06,6.390149163874058e-06
high_order,T0,28,6,4,5.1015625,-0.9296875,INTERIOR,1.9827906832942503e-05,6.9821407462483965e-06,7.866898266448263e-06
high_order,T0,28,7,4,5.1171875,-0.9296875,INTERIOR,2.2235454950754668e-05,8.497646986034644e-06,8.548533268434034e-06
high_order,T0,28,8,4,5.1328125,-0.9296875,INTERIOR,2.2550622798082724e-05,8.82339566891837e-06,8.372394784505602e-06
high_order,T0,28,9,4,5.1484375,-0.9296875,INTERIOR,2.1310504461206803e-05,8.008025812956055e-06,7.565681287270435e-06
high_order,T0,28,10,4,5.1640625,-0.9296875,INTERIOR,1.8750329090109596e-05,6.350074600093491e-06,6.252301323435076e-06
high_order,T0,28,11,4,5.1796875,-0.9296875,INTERIOR,1.6084928681298953e-05,4.542868392974113e-06,5.031820020011829e-06
high_order,T0,28,12,4,5.1953125,-0.9296875,INTERIOR,1.367516144379762e-05,2.9104281878664105e-06,4.042873411155114e-06
high_order,T0,28,13,4,5.2109375,-0.9296875,INTERIOR,1.2033892520446626e-05,1.7381972473202913e-06,3.2469735256567275e-06
high_order,T0,28,14,4,5.2265625,-0.9296875,INTERIOR,1.1279725611893699e-05,9.83843781676452e-07,2.6776729894433916e-06
high_order,T0,28,15,4,5.2421875,-0.9296875,INTERIOR,1.0500892422219784e-05,5.115872771731477e-07,2.1444100043387823e-06
high_order,T0,28,16,4,5.2578125,-0.9296875,INTERIOR,9.654939939324844e-06,2.3385919871461844e-07,1.6319636427613194e-06
high_order,T0,28,17,4,5.2734375,-0.9296875,INTERIOR,9.106489631214863e-06,6.203978529950802e-08,1.1534722800442402e-06
high_order,T0,28,18,4,5.2890625,-0.9296875,INTERIOR,8.863092071796262e-06,3.918343757436824e-12,7.240360274155037e-07
high_order,T0,28,19,4,5.3046875,-0.9296875,INTERIOR,8.650671806376034e-06,9.391069270786655e-08,4.032751993931992e-07
high_order,T0,28,20,4,5.3203125,-0.9296875,INTERIOR,8.522342610571118e-06,4.404996246618874e-07,2.3232143547993927e-07
high_order,T0,28,21,4,5.3359375,-0.9296875,INTERIOR,9.223536361052785e-06,1.0748513753772115e-06,3.3723644523537573e-07
high_order,T0,28,22,4,5.3515625,-0.9296875,INTERIOR,1.0721227827235614e-05,1.9829167583331145e-06,7.264812738515237e-07
high_order,T0,28,23,4,5.3671875,-0.9296875,INTERIOR,1.2351261555424757e-05,3.015367665332607e-06,1.4459629706016152e-06
high_order,T0,28,24,4,5.3828125,-0.9296875,INTERIOR,1.394983194500968e-05,4.011225232874654e-06,2.4300231681103517e-06
high_order,T0,28,25,4,5.3984375,-0.9296875,INTERIOR,1.5524815542304393e-05,4.776197879171391e-06,3.4016202871797927e-06
high_order,T0,28,26,4,5.4140625,-0.9296875,INTERIOR,1.6914358200476334e-05,5.1867644700206355e-06,4.266793257874561e-06
high_order,T0,28,27,4,5.4296875,-0.9296875,INTERIOR,1.734988321598704e-05,5.233898980632962e-06,4.837036448744576e-06
high_order,T0,28,28,4,5.4453125,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,1.6821847192109984e-05,4.958107730886716e-06,5.074170683793455e-06
high_order,T0,28,29,4,5.4609375,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,1.6187450113497838e-05,4.391678877996057e-06,5.121693691232125e-06
high_order,T0,28,30,4,5.4765625,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,1.558088537917799e-05,3.6969957064849728e-06,5.0013695438093944e-06
high_order,T0,28,31,4,5.4921875,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,1.4725734112756225e-05,3.147967909126948e-06,4.812744470015762e-06
high_order,T0,28,0,5,5.0078125,-0.9140625,COARSE_FINE_INTERFACE,4.155544815509803e-06,1.7219396324669362e-07,9.51670189457514e-07
high_order,T0,28,1,5,5.0234375,-0.9140625,COARSE_FINE_INTERFACE,6.1167193312693295e-06,3.9604010001956973e-07,1.6704923060091757e-06
high_order,T0,28,2,5,5.0390625,-0.9140625,COARSE_FINE_INTERFACE,6.77571637255991e-06,5.389092656634368e-07,2.357223723548116e-06
high_order,T0,28,3,5,5.0546875,-0.9140625,COARSE_FINE_INTERFACE,8.865475701599228e-06,1.17571811519032e-06,3.6055889202019025e-06
high_order,T0,28,4,5,5.0703125,-0.9140625,INTERIOR,1.2283418966751589e-05,2.7488739346564405e-06,5.311852863630242e-06
high_order,T0,28,5,5,5.0859375,-0.9140625,INTERIOR,1.6174875918330497e-05,4.797587559705326e-06,6.938756720540275e-06
high_order,T0,28,6,5,5.1015625,-0.9140625,INTERIOR,2.0169294563118986e-05,6.91394376538928e-06,8.304661770623462e-06
high_order,T0,28,7,5,5.1171875,-0.9140625,INTERIOR,2.2415073349116096e-05,8.409598849014765e-06,8.865396396305495e-06
high_order,T0,28,8,5,5.1328125,-0.9140625,INTERIOR,2.2638073954273954e-05,8.790171808944439e-06,8.549736544988805e-06
high_order,T0,28,9,5,5.1484375,-0.9140625,INTERIOR,2.102432434154165e-05,7.839474559167466e-06,7.5018367722537794e-06
high_order,T0,28,10,5,5.1640625,-0.9140625,INTERIOR,1.782416104417632e-05,5.868941719595373e-06,5.854487800836109e-06
high_order,T0,28,11,5,5.1796875,-0.9140625,INTERIOR,1.4478247332355096e-05,3.696194017060197e-06,4.285754554231845e-06
