cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
1110,0.59319900562363714,2,pre_ko_rhs,1.0040265983835803e-13,1.0040265983835803e-13,9,60,1.875,0
1110,0.59319900562363714,3,pre_ko_rhs,8.9765671701507228e-14,8.9765671701507228e-14,9,58,0.28125,0
1110,0.59319900562363714,4,pre_ko_rhs,8.9066563688662872e-14,8.9066563688662872e-14,9,60,1.890625,0
1111,0.59353924019525162,1,pre_ko_rhs,9.8581054110976783e-14,9.8581054110976783e-14,9,60,1.25,0
1111,0.59353924019525162,2,pre_ko_rhs,9.9319187013201683e-14,9.9319187013201683e-14,9,12,-1.921875,0
1111,0.59353924019525162,3,pre_ko_rhs,1.1674104513578787e-13,1.1674104513578787e-13,9,58,1,0
1111,0.59353924019525162,4,pre_ko_rhs,1.3010828625254924e-13,1.3010828625254924e-13,9,12,-1.640625,0
1112,0.59387951153330087,1,pre_ko_rhs,9.8803805721312319e-14,9.8803805721312319e-14,9,14,-0.484375,0
1112,0.59387951153330087,2,pre_ko_rhs,1.1139003341046391e-13,1.1139003341046391e-13,9,12,-1.984375,0
1112,0.59387951153330087,3,pre_ko_rhs,1.0373703738792596e-13,1.0373703738792596e-13,9,60,1.484375,0
1112,0.59387951153330087,4,pre_ko_rhs,1.0705887477170707e-13,1.0705887477170707e-13,9,60,1.421875,0
1113,0.59421981968696302,1,pre_ko_rhs,1.0902047964815091e-13,1.0902047964815091e-13,9,60,1.453125,0
1113,0.59421981968696302,2,pre_ko_rhs,1.2134564183189142e-13,1.2134564183189142e-13,9,60,1.4375,0
1113,0.59421981968696302,3,pre_ko_rhs,1.1521791182470426e-13,1.1521791182470426e-13,9,14,-0.578125,0
1113,0.59421981968696302,4,pre_ko_rhs,1.107425444223779e-13,1.107425444223779e-13,9,14,-0.59375,0
1114,0.59456016470536044,1,pre_ko_rhs,1.1063579464862496e-13,1.1063579464862496e-13,9,12,-1.90625,0
1114,0.59456016470536044,2,pre_ko_rhs,1.1245115206052932e-13,1.1245115206052932e-13,9,12,-1.53125,0
1114,0.59456016470536044,3,pre_ko_rhs,1.1684977023452275e-13,1.1684977023452275e-13,9,14,-0.078125,0
1114,0.59456016470536044,4,pre_ko_rhs,1.2380505726358787e-13,1.2380505726358787e-13,9,12,-1.375,0
1115,0.59490054663755976,1,pre_ko_rhs,1.0636494937950971e-13,1.0636494937950971e-13,9,58,0.703125,0
1115,0.59490054663755976,2,pre_ko_rhs,9.420769326623561e-14,9.420769326623561e-14,9,14,-0.875,0
1115,0.59490054663755976,3,pre_ko_rhs,1.1167026730001636e-13,1.1167026730001636e-13,9,12,-1.765625,0
1115,0.59490054663755976,4,pre_ko_rhs,1.023596024632862e-13,1.023596024632862e-13,9,12,-1.046875,0
1116,0.59524096553257166,1,pre_ko_rhs,1.1452350315420217e-13,1.1452350315420217e-13,9,58,0.1875,0
1116,0.59524096553257166,2,pre_ko_rhs,1.1978626262031623e-13,1.1978626262031623e-13,9,58,0.5,0
1116,0.59524096553257166,3,pre_ko_rhs,1.0579148181949973e-13,1.0579148181949973e-13,9,60,1.140625,0
1116,0.59524096553257166,4,pre_ko_rhs,1.2079178019709387e-13,1.2079178019709387e-13,9,60,1.734375,0
1117,0.59558142143935078,1,pre_ko_rhs,1.0011357669196146e-13,1.0011357669196146e-13,9,12,-1.0625,0
1117,0.59558142143935078,2,pre_ko_rhs,9.1729201057322031e-14,9.1729201057322031e-14,9,58,0.859375,0
1117,0.59558142143935078,3,pre_ko_rhs,1.0767525149153185e-13,1.0767525149153185e-13,9,14,-0.0625,0
1117,0.59558142143935078,4,pre_ko_rhs,1.229692983913395e-13,1.229692983913395e-13,9,60,1.96875,0
1118,0.59592191440679576,1,pre_ko_rhs,9.5168021368130369e-14,9.5168021368130369e-14,9,60,1.578125,0
1118,0.59592191440679576,2,pre_ko_rhs,1.1462404962782902e-13,1.1462404962782902e-13,9,60,1.515625,0
1118,0.59592191440679576,3,pre_ko_rhs,1.0431903791090349e-13,1.0431903791090349e-13,9,14,-0.953125,0
1118,0.59592191440679576,4,pre_ko_rhs,9.5922980909794396e-14,9.5922980909794396e-14,9,12,-1.046875,0
1119,0.59626244448374899,1,pre_ko_rhs,1.0397712114797604e-13,1.0397712114797604e-13,9,60,1.453125,0
1119,0.59626244448374899,2,pre_ko_rhs,1.1056954298508479e-13,1.1056954298508479e-13,9,58,0.953125,0
1119,0.59626244448374899,3,pre_ko_rhs,9.9595885772600364e-14,9.9595885772600364e-14,9,12,-1.984375,0
1119,0.59626244448374899,4,pre_ko_rhs,1.1934444418045887e-13,1.1934444418045887e-13,9,58,0.46875,0
1120,0.59660301171899655,1,pre_ko_rhs,1.152361514048113e-13,1.152361514048113e-13,9,58,0.46875,0
1120,0.59660301171899655,2,pre_ko_rhs,1.1309409246923813e-13,1.1309409246923813e-13,9,58,0.25,0
1120,0.59660301171899655,3,pre_ko_rhs,9.7019208728672248e-14,9.7019208728672248e-14,9,14,-0.0625,0
1120,0.59660301171899655,4,pre_ko_rhs,1.1249610839417908e-13,1.1249610839417908e-13,9,58,0.25,0
1121,0.5969436161612679,1,pre_ko_rhs,1.1447934742493936e-13,1.1447934742493936e-13,9,60,1.65625,0
1121,0.5969436161612679,2,pre_ko_rhs,1.1949230530384833e-13,1.1949230530384833e-13,9,14,-0.140625,0
1121,0.5969436161612679,3,pre_ko_rhs,1.0199942877132728e-13,1.0199942877132728e-13,9,12,-1.578125,0
1121,0.5969436161612679,4,pre_ko_rhs,1.1031293562651701e-13,1.1031293562651701e-13,9,12,-1.921875,0
